pub_num,title,buyer,notice_type,cpv,deadline,link,value,currency,languages,duration,country,description,score,bucket,t1_hits,t2_hits,ai_relevant,ai_reason,fetched_date,winner
162483-2026,Germany – Business development consultancy services – Rahmenvereinbarung Qualifizierungs- und Coachingmaßnahmen für die Gründungsberatung in der Vorgründungsphase,Technologie- und Gewerbezentrum Prignitz GmbH,can-standard,"79411100, 79998000, 79000000",—,https://ted.europa.eu/en/notice/-/detail/162483-2026,121000.0,EUR,,—,DEU,"Im Rahmen von Gründungswerkstätten sollen sich Gründungswillige intensiver mit der eigenen Gründungsidee auseinandersetzen können und mit Hilfe von Wissensvermittlung die wesentlichen Skills zur Unternehmensführung erlernen und am Business Plan arbeiten. Es sind hierzu zwei Formen der Gründungswerkstätten vorgesehen: die ""Basis-Gründungswerkstatt"" und die ""Kleine Gründungswerkstatt"". Die Basis-Gründungswerkstatt umfasst eine viertägige Intensivqualifizierung (ein Tagewerk = 8 Zeitstunden) zu den Themen: Grundlagen Unternehmensführung, Selbstorganisation, unternehmerisches Denken, Gründerpersönlichkeit, Geschäftsmodellanalyse und -entwicklung, Finanzierung, kaufmännische Grundlagen & Gründungsformalitäten, Markt & Marktfähigkeit, Recht & Gesetz, BWL-Grundkurs & steuerrechtliche Grundlagen. Die inten-sive Arbeit an der eigenen Gründungsidee in Kombination mit Wissensvermittlung bietet den Gründungswilligen einen guten Überblick über die eigenen Potenziale, Wissenslücken oder auch Schwächen des Gründungsvorhabens. Zum Abschluss der Werkstatt präsentiert jede/r Gründer:in seine/ihre Gründungsidee inklusive der offenen Punkte vor dem gesamten Teilnehmerkreis, den Berater:innen und dem Team des Gründungsservices. Der/die Bera-ter:in dokumentiert daraufhin gemeinsam mit dem Gründungsservice die Entwicklungsmöglichkeiten des/der Gründungswilligen. Die kleine Gründungswerkstatt richtet sich an diejenigen, die aufgrund fehlender zeitlicher Kapazitäten (Arbeit, Familienaufgaben) nicht an einem viertägigen Seminar teilnehmen können sowie an Gründungswillige, die aufgrund von Vorkenntnissen und speziellen Erfahrungen nicht die komplette Wissensvermittlung der Basis-Gründungswerkstätten benötigen, sondern eher spezifischen Qualifizierungsbedarf haben. Das trifft vor allem auf Unterneh-mensnachfolgen oder auch auf Gründungen im Nebenerwerb zu. Für die kleine Gründungswerkstätten sind zwei Tagewerke vorzusehen, wobei diese in kleinere Zeiteinheiten unterteilt werden können (z.B. vier halbe Tagewerke zu je vier Stunden). Durchführung von individuellen Qualifizierungs- und Coachingmaßnahmen in der Vorgründungsphase. Coaching im Sinne der Existenzgründungsrichtlinie bietet dem Teilnehmenden eine Unterstützung bei der Klärung und Umsetzung konkreter Ziele und ist eine Kombination aus individueller spezifischer Beratung, persönlichem Feedback und praxisorientiertem Training. Die Leistungserbringung orientiert sich an den jeweiligen bedarfsorientierten Gründungsfahrplänen und individuellen Entwicklungspotentialen des Existenzgründers und seiner Gründungsidee. Der regelmäßige Ort der Leistungserbringung wird nach Absprache mit dem Gründungs-service Prignitz im Landkreis Prignitz festgelegt und ist individuell zwischen dem/der Berater:in und dem Teilnehmer abzustimmen, wobei die persönlichen Ausgangsbedingungen und gründungsrelevanten Belange des Teilnehmers besonders zu berücksichtigen sind. Über die Art der Leistungsdurchführung als Präsenz- oder Online-Coaching entsc",-2.0,Market intelligence,,,,,2026-05-19,
161406-2026,"France – Sewage work – Conception et réalisation d'une station d'épuration, d'une unité de méthanisation et de valorisation thermique sur la commune de BRUZ (France)",Rennes Métropole,can-standard,"45232420, 09331200, 45232411, 45232423",—,https://ted.europa.eu/en/notice/-/detail/161406-2026,,,,—,FRA,"Le présent avis, officiellement et uniquement disponible en langue française, est l'avis d'attibution de cette consultation. Pays du pouvoir adjudicateur : France L'adresse url utilisable pour l'ensemble des échanges pour cette consultation est https://marches.megalis.bretagne.bzh (référence consultation : 24190014). Rennes Métropole en tant qu'acheteur a conduit l'ensemble de la procédure de passation du marché. Le marché est susceptible d'être financé par des fonds communautaires. La consultation avait pour finalité la passation d'un marché de travaux de conception réalisation tel que défini aux articles L 2171-1-1° ; L 2171-2; R 2171-1 du code de la commande publique. Elle a été lancée selon la procédure avec négociation visée aux articles L 2124-3; R 2124-3; R 2161-12 à R 2161-20 du même code et est soumise aux modalités de publicité définies aux articles R 2131-16 à R 2131-20 du code de la commande publique. La procédure était restreinte. Elle s'est déroule en 2 phases successives: une 1ère phase d'analyse des candidatures pour sélectionner les candidats qui ont admis à remettre une offre et une 2ème phase de remise des offres, de leur analyse et du choix de l'attributaire du marché. Les prestations sont décomposées en trois phases comme suit: Phase 1 : Le démarrage des études de conception des ouvrages de la nouvelle station d'épuration, y compris l'établissement du dossier de demande de permis de construire et l'établissement de l'étude de danger et la fourniture des éléments complémentaires nécessaires à l'établissement de la demande d'autorisation environnementale unique à déposer au titre du code de l'environnement (durée de 12 mois maximum) ; Phase 2 : La réalisation des études d'exécution et des travaux de la nouvelle station d'épuration d'une capacité de 50 000 EQH en file eau et 80 000 EQH en file boue (études préparatoires, études d'exécution, travaux de construction, etc…) (durée de 22 mois maximum); Phase 3 : La mise au point, la mise en régime et l'observation en marche industrielle des installations réalisées dans le cadre du présent marché et leur conduite durant ces périodes en vue de la vérification de l'atteinte des performances garanties et de la réception de la station d'épuration (durée de 10 mois minimum). La date estimée de début du marché est octobre 2025. La date estimée de fin de marché est juin 2029.Soit une durée du marché estimée à 72 mois. Les prestations sont réglées par un prix global et forfaitaire",-2.0,Market intelligence,,valorisation,,,2026-05-19,
187917-2026,"Netherlands – Feasibility study, advisory service, analysis – Raamovereenkomst Adviesdiensten Energiesystemen",Gemeente Arnhem,can-standard,"71241000, 65400000, 71242000, 71243000",—,https://ted.europa.eu/en/notice/-/detail/187917-2026,1600000.0,EUR,,48 month,NLD,Gemeente Arnhem wil een raamovereenkomst sluiten met 2 inschrijvers voor de integrale ontwikkeling van een totaal energiesysteem voor de duur van twee jaar met een optie tot verlenging twee maal met één jaar. 1600000 Gemeente Arnhem wil een raamovereenkomst sluiten met twee inschrijvers voor perceel 2 Bron & Infrastructuur gericht op het ontwerp en technische uitwerking van nieuwe infrastructuur en energiebronnen binnen energiesystemen voor de duur van twee jaar met een optie tot verlenging twee maal met één jaar. 1200000 Gemeente Arnhem wil een raamovereenkomst sluiten met 2 inschrijvers voor perceel 3 Gebouwen en woningen voor het geschikt maken van gebouwen en woningen om aan te kunnen sluiten op nieuwe energiesystemen voor de duur van twee jaar met een optie tot verlenging twee maal met één jaar. 800000,-2.0,Market intelligence,,feasibility study,,,2026-05-19,
280887-2026,"Slovenia – Construction work for commercial buildings, warehouses and industrial buildings, buildings relating to transport – Obnova lokalnih centrov cestninskega nadzora: Sklop 1: Dragotinci, Pesnica in Tepanje",DRUŽBA ZA AVTOCESTE V REPUBLIKI SLOVENIJI D.D.,can-modif,45213000,—,https://ted.europa.eu/en/notice/-/detail/280887-2026,,,,—,SVN,"Obnova lokalnih centrov cestninskega nadzora: Sklop 1: Dragotinci, Pesnica in Tepanje",-5.0,Market intelligence,,,,,2026-05-19,
224771-2026,"Czechia – Evaluation consultancy services – Dynamický nákupní systém na vyhodnocení vybraných projektů, programů a sektorů v rámci zahraniční rozvojové spolupráce a humanitární pomoci ČR",Ministerstvo zahraničních věcí,can-standard,"79419000, 72316000, 79311300",—,https://ted.europa.eu/en/notice/-/detail/224771-2026,10000000.0,CZK,,2 year,CZE,"Předmětem plnění veřejných zakázek zadávaných v DNS bude provádění evaluací - nezávislého vyhodnocení vybraných projektů, programů a sektorů v rámci zahraniční rozvojové spolupráce a humanitární pomoci ČR.",-2.0,Market intelligence,,,,,2026-05-19,
240897-2026,"France – District-heating mains construction work – DSP MONTBELIARD-Lot 10-1 Electricité BT-Travaux de réseaux de chaleurs, de sous-stations et de chaufferie à Montbéliard",DALKIA (54),can-standard,"45232140, 45310000",—,https://ted.europa.eu/en/notice/-/detail/240897-2026,,,,—,FRA,"LOT 10-1 : Electricité BT (travaux et fourniture) dans le cadre de la construction et, ou, de la rénovation d'une chaufferie biomasse à Montbéliard",-5.0,Market intelligence,,,,,2026-05-19,
331781-2026,Ireland – Energy and related services – Multi-Party Framework Agreement for Energy Efficient Design Services 2024 for Major Works Projects at Connolly Hospital and Our Lady of Lourdes,Health Service Executive (HSE),can-standard,"71314000, 71000000, 71210000, 71220000",—,https://ted.europa.eu/en/notice/-/detail/331781-2026,3000000.0,EUR,,48 month,IRL,Major capital works projects (€50M - €400M) at Connolly Hospital and Our Lady of Lourdes,-5.0,Market intelligence,,,,,2026-05-19,
161315-2026,"Romania – Evaluation consultancy services – Acord cadru prestari servicii de evaluare a bunurilor imobile şi mobile sechestrate, în vederea valorificării-3 loturi",Directia Generala Regionala a Finantelor Publice Iasi,can-standard,79419000,—,https://ted.europa.eu/en/notice/-/detail/161315-2026,,,,36 month,ROU,"Servicii de evaluare a bunurilor imobile şi mobile sechestrate, în vederea valorificării de către Administraţia Judeţeană a Finanţelor Publice Botosani şi structurile subordonate. Servicii de evaluare a bunurilor imobile şi mobile sechestrate, în vederea valorificării de către Administraţia Judeţeană a Finanţelor Publice Iasi şi structurile subordonate. Servicii de evaluare a bunurilor imobile şi mobile sechestrate, în vederea valorificării de către Administraţia Judeţeană a Finanţelor Publice Suceava şi structurile subordonate.",-2.0,Market intelligence,,,,,2026-05-19,
151144-2026,Ireland – Business and management consultancy services – Project Management in Support of National ORE DMAP,Department of Climate Energy and the Environment,can-standard,79410000,—,https://ted.europa.eu/en/notice/-/detail/151144-2026,200000.0,EUR,,—,IRL,Project Management Services in Support of National ORE DMAP,-2.0,Market intelligence,,,,,2026-05-19,
215482-2026,France – Survey services – Suivi animation de l'OPAH-RU &amp;quot;Coeur d'agglomération du Grand Cahors&amp;quot; 2026-2030,Communauté d'agglomération du Grand Cahors,can-standard,"79311000, 85311000, 79419000, 85310000",—,https://ted.europa.eu/en/notice/-/detail/215482-2026,,,,—,FRA,Suivi animation Mission d'accompagnement sanitaire et social des occupants de logements indignes,-2.0,Market intelligence,,,,,2026-05-19,
263739-2026,"Austria – Placement services of personnel – Personalberatung eisenbahnspezifische Berufe,Postbus-Lenker:innen,Facharbeiter:innen international",. | ÖBB-Holding AG mit allen verbundenen Unternehmen,can-standard,"79610000, 79400000, 85141000, 79630000",—,https://ted.europa.eu/en/notice/-/detail/263739-2026,,,,—,AUT,Qualifizierte Triebfahrzeugführer:innen - EU/EWR 1 -Mit und ohne Wohnungsservice Qualifizierte Triebfahrzeugführer:innen - EU/EWR 2 - Welt- Mit und ohne Wohnungsservice,-5.0,Market intelligence,,,,,2026-05-19,
261337-2026,"France – Refuse and waste related services – Collecte, traitement, mise à disposition de matériel et valorisation financière pour la filière tri sélectif au CHU Amiens-Picardie",CHU AMIENS PICARDIE (établissement support du GHT SLS),can-standard,"90500000, 90510000",—,https://ted.europa.eu/en/notice/-/detail/261337-2026,,,,48 month,FRA,"Collecte, traitement, mise à disposition de matériel et valorisation financière pour la filière tri sélectif au CHU Amiens-Picardie",-2.0,Market intelligence,,valorisation,,,2026-05-19,
158012-2026,Netherlands – Engineering services – Capaciteitsonderzoek 2026-2029,"Rijkswaterstaat Water, Verkeer en Leefomgeving",can-standard,"71300000, 73200000",—,https://ted.europa.eu/en/notice/-/detail/158012-2026,,,,—,NLD,De Opdracht (project) betreft het structureel uitvoeren van capaciteitsonderzoek op autosnelwegen en niet-autosnelwegen.,-2.0,Market intelligence,,,,,2026-05-19,
201807-2026,France – Site-development work – Concession d'aménagement de la ZAC habitat communautaire Les Musiciens à Outreau,Communauté d'agglomération du Boulonnais,can-standard,45111291,—,https://ted.europa.eu/en/notice/-/detail/201807-2026,,,,—,FRA,"Par la délibération en date du 9 février 2017, le Conseil communautaire de la CAB a créé une Zone d'Aménagement Concertée (ZAC) communautaire à vocation d'habitat, le quartier Les Musiciens à Outreau. Par délibération en date du 9 octobre 2025, le conseil communautaire de la CAB a décidé de confier à la SEM Urbavileo, l'aménagement et la commercialisation de la ZAC avec un programme prévisionnel de construction de 312 logements",-2.0,Market intelligence,,commercialisation,,,2026-05-19,
97120-2026,France – Evaluation consultancy services – Mission de suivi-animation – Programme d’Intérêt Général Pacte Territorial – France Rénov’ 2025-2029.,Brest métropole,can-standard,79419000,—,https://ted.europa.eu/en/notice/-/detail/97120-2026,1200000.0,EUR,,23 month,FRA,Lutte contre la précarité énergétique et l’habitat indigne Adaptation des logements à la perte d’autonomie et au handicap,-2.0,Market intelligence,,,,,2026-05-19,
139588-2026,Germany – Business and management consultancy services – AOK BW_Weiterentwicklung Immobilienportportfolio_2025_Vergabe,AOK Baden-Württemberg,can-standard,"79410000, 72221000, 70123000, 79400000",—,https://ted.europa.eu/en/notice/-/detail/139588-2026,,,,4 year,DEU,"Die AOK BW bewirtschaftete zum 01. Juni 2025 rund 258 Immobilien mit insgesamt rund 383 000 m² Nettofläche. Davon befinden sich 102 Immobilien im Eigentum der AOK BW. Die AOK BW hat bereits angemieteten Immobilien, die nicht mehr genutzt werden, gekündigt und hat auch für verschiedene Immobilien, die sich in ihrem Eigentum befinden, den Verkaufsprozess gestartet oder bereitet diesen vor. Die AOK BW hat die Bedarfe an Flächen grob erfasst und erste Indikationen dazu entwickelt, welche Standorte geeignet für die Arbeits- und Kundenwelten der Zukunft sind. Gleichzeitig wird untersucht, wie die künftige Arbeitswelt strukturiert werden kann und muss, um zukunftsfähige Flächen zu schaffen, die den Anforderungen an moderne, zukunftsfähige Arbeitswelten genügen. Gleiches gilt für die Kundenwelten, die an den Bedürfnissen der Kundinnen und Kunden ausgerichtet werden. Die Arbeitsergebnisse bilden eine Grobkonzeption zum Zielbild der AOK BW auf Bezirksdirektionsebene, die nachfolgend zusammenfassend als ""Grobkonzeption Infrastruktur 2030+"" bezeichnet werden. Die Arbeitsergebnisse der Grobkonzeption liegen vor und werden den ausgewählten Bietern gleichfalls mit der Angebotsaufforderung in der Verhandlungsphase zur Verfügung gestellt. Auf Basis der Zwischenergebnisse der Grobkonzeption 2030+ ist nun durch die AOK BW eine Fein- und Umsetzungsplanung zu erstellen. Der künftige Auftragnehmer wird jeweils im Bedarfsfall hinzugezogen. Ein Schwerpunkt der ausgeschriebenen Beratungs- und Unterstützungsleistung wird in der Überprüfung der Parameter und Leitplanken der jeweils gebäude- und/oder portfoliobezogenen Business-Case-Betracht einschließlich der Wirtschaftlichkeitsuntersuchung, um dem gesetzlichen Gebot gem. § 70 SGB IV zur Wirtschaftlichkeit der gesetzlichen Aufgabenerfüllung Rechnung zu tragen. Die Aufgabe der Erstellung der Feinplanung verbleibt bei der AOK BW. Details ergeben sich aus der Leistungsbeschreibung. Ausgeschrieben wird ein Rahmenvertrag mit einem Wirtschaftsteilnehmer. Interessenten sind verpflichtet, bereits im Rahmen des Teilnahmewettbewerbs eine hinreichende Personalkapazität nachzuweisen. Gefordert wird daher die Erklärung, dass der Bewerber/die Bewerbergemeinschaft für jede der nachfolgend spezifizierten Rollen mindestens zwei Beschäftigte aufweist, die die geforderten Voraussetzungen erfüllen.",-2.0,Market intelligence,,,,,2026-05-19,
111460-2026,"Ireland – Business and management consultancy and related services – PAS120F-04-037 - PROJ000010707, Stage 2 Request for Tender Mini Competition for University of Limerick",University of Limerick,can-standard,"79400000, 79410000, 79411000, 79418000",—,https://ted.europa.eu/en/notice/-/detail/111460-2026,400000.0,EUR,,—,IRL,"PAS120F-04-037 - PROJ000010707, Stage 2 Request for Tender Mini Competition for University of Limerick",0.0,Market intelligence,,,,,2026-05-19,
119935-2026,"France – Miscellaneous computer equipment – FOURNITURE, LIVRAISON ET MISE EN SERVICE D'EQUIPEMENTS NUMERIQUES ET INFORMATIQUES POUR LA CMAR PACA",CMAR PACA,can-standard,"30236000, 32333000, 30230000, 30231300",—,https://ted.europa.eu/en/notice/-/detail/119935-2026,,,,4 year,FRA,"Le lot 1 "" Studio vidéo"" a pour objet l'acquisition d'équipements numériques pour les studios d'enregistrement de la CMAR. Chaque studio d'enregistrement devra être personnalisé à l'image du CFAR utilisateur. Le montant maximum annuel du lot n° 1 est de 69 111 euros TTC. Les prescriptions détaillées sont données dans le cahier des clauses techniques particulières commun à tous les lots. Le lot 2 a pour objet l'acquisition de matériel pour la salle virtuelle de coiffure. Le montant maximum annuel du lot n° 2 est de 138 600 euros TTC. Les prescriptions détaillées du lot 2 sont données dans le cahier des clauses techniques particulières commun à tous les lots. Le lot 3 a pour objet l'acquisition d'écrans interactifs. Le montant maximum annuel du lot n° 3 est de 51 622 euros TTC. Les prescriptions détaillées du lot 3 sont données dans le cahier des clauses techniques particulières commun à tous les lots. Le lot 4 a pour objet l'acquisition d'écran PC. Le montant maximum annuel du lot n° 4 est de 16 322 euros TTC. Les prescriptions détaillées du lot 4 sont données dans le cahier des clauses techniques particulières commun à tous les lots. Le lot 5 a pour objet l'acquisition de vidéoprojecteurs. Le montant maximum annuel du lot n° 5 est de 38 949 euros TTC. Les prescriptions détaillées du lot 5 sont données dans le cahier des clauses techniques particulières commun à tous les lots.",-5.0,Market intelligence,,,,,2026-05-19,
120556-2026,Sweden – Company health services – Företagshälsovård,Uppsalahem Aktiebolag,can-standard,"85147000, 79414000, 80510000, 85121270",—,https://ted.europa.eu/en/notice/-/detail/120556-2026,2500000.0,SEK,,—,SWE,"Företagshälsovård inom följande områden: Hälsofrämjande tjänster, Förebyggande tjänster, Efterhjälpande tjänster, Stöd till HR och chefer. Avtalet omfattar inte djupare utredning av arbetsförmåga och vaccinationer.",-5.0,Market intelligence,,,,,2026-05-19,
271684-2026,Romania – Medical consumables – Furnizare consumabile medicale,Institutul Oncologic Prof. Dr. I. Chiricuta Cluj-Napoca,can-standard,33140000,—,https://ted.europa.eu/en/notice/-/detail/271684-2026,160000.0,RON,,24 month,ROU,"cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 100 1000 4,000.00 40,000.00 cantit estim min/max AC. ; Valoare min/max estim AC 400 4000 16,000.00 160,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 1 25 300.00 7,500.00 cantit estim min/max AC. ; Valoare min/max estim AC 4 100 1,200.00 30,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 50 2500 700.00 cantit estim min/max AC. ; Valoare min/max estim AC 200 10000 2,800.00 140,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 2500 65000 10,500.00 273,000.00 cantit estim min/max AC. ; Valoare min/max estim AC 10000 260000 42,000.00 1,092,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 50 1000 6,750.00 135,000.00 cantit estim min/max AC. ; Valoare min/max estim AC 200 4000 27,000.00 540,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 250 500 23,750.00 47,500.00 cantit estim min/max AC. ; Valoare min/max estim AC 1000 2,000.00 95,000.00 190,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 125 3000 4,375.00 105,000.00 cantit estim min/max AC. ; Valoare min/max estim AC 500 12000 17,500.00 420,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 20 40 19,000.00 38,000.00 cantit estim min/max AC. ; Valoare min/max estim AC 80 160 76,000.00 152,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 25 250 2,175.00 21,750.00 cantit estim min/max AC. ; Valoare min/max estim AC 100 1,000.00 8,700.00 87,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 50 500 2,250.00 22,500.00 cantit estim min/max AC. ; Valoare min/max estim AC 200 2,000.00 9,000.00 90,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 50 500 3,000.00 30,000.00 cantit estim min/max AC. ; Valoare min/max estim AC 200 2,000.00 12,000.00 120,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 50 1000 2,000.00 40,000.00 cantit estim min/max AC. ; Valoare min/max estim AC 200 4,000.00 8,000.00 160,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 50 1000 3,750.00 75,000.00 cantit estim min/max AC. ; Valoare min/max estim AC 200 4,000.00 15,000.00 300,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 50 500 3,025.00 30,250.00 cantit estim min/max AC. ; Valoare min/max estim AC 200 2000 12,100.00 121,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 3 20 1,750.00 14,000.00 cantit estim min/max AC. ; Valoare min/max estim AC 10 80.00 7,000.00 56,000.00 cantit estim min/max Ctr. Subsecvent; Valoare min/max estim Ctr. Subsecvent 250 5000 6,250.00 125,000.00 cantit estim min/max AC. ; Valoare min/max estim AC 1000 20000 25,000.00 500,000.00 cantit estim min/max Ctr. Subsecve",-5.0,Market intelligence,,,,,2026-05-19,
277783-2026,Italy – Public relations services – CAPITOLATO TECNICO E PROCEDURA DI SELEZIONE DELL'ORGANISMO DI ESECUZIONE DEL PROGRAMMA DI INFORMAZIONE E PROMOZIONE DEI PRODOTTI AGRICOLI SUI MERCATI TERZI USA E CANADA,CONSORZIO PER LA TUTELA DEL FORMAGGIO PECORINO ROMANO,can-standard,79416000,—,https://ted.europa.eu/en/notice/-/detail/277783-2026,,,,36 month,ITA,"I soggetti che parteciperanno al presente invito dovranno presentare un corpus di attività e iniziative (informative e promozionali) che si sviluppa intorno a una chiara e precisa strategia orientata al mercato e ai gruppi target, finalizzata al raggiungimento degli obiettivi sopra esposti e coerente con il messaggio della Commissione europea presentato in fase di candidatura del programma con la durata prevista e le risorse finanziarie messe a disposizione. Pacchetti di lavoro (Work Package - WP) ed attività che dovranno essere presenti all’interno delle proposte, secondo le modalità descritte in dettaglio all’interno del capitolato tecnico nelle sezioni successive: - WP 2 – Relazioni pubbliche - WP 3 – Sito web, social media - WP 4 – Pubblicità - WP 5 – Strumenti di comunicazione - WP 6 – Eventi - WP 7 – POS Per maggiori dettagli si veda paragrafo 5 del ""Capitolato Tecnico"" scaricabile dal sito internet del Consorzio capofila.",-5.0,Market intelligence,,,,,2026-05-19,
271905-2026,"France – Architectural, construction, engineering and inspection services – Colombes (92) aliop 138817-138818-137634 142 avenue de Stalingrad Mission OPC pour la construction d'un ensemble immobilier et trois cellules commerciales en groupement de commandes SEQENS/SEQENS SOLIDARITES/SEQENS ACCESSION",SEQENS SOCIETE ANONYME D'HABITATIONS A LOYER MODERE,can-standard,71000000,—,https://ted.europa.eu/en/notice/-/detail/271905-2026,,,,28 month,FRA,mission OPC,-5.0,Market intelligence,,,,,2026-05-19,
98628-2026,"Cyprus – Other sources of energy supplies and distribution – Υπηρεσίες για θέσπιση κατευθυντήριων γραμμών για τη σύνδεση ΣΕΗΟ στο δίκτυο διανομής, τη θέσπιση κινήτρων στον ΔΣΔ για προμήθεια υπηρεσιών ευελιξίας, και τη θέσπιση αντίστοιχων Ρυθμιστικών Πλαισίων",Ρυθμιστική Αρχή Ενέργειας Κύπρου,can-standard,"65400000, 73220000, 31213400, 31158000",—,https://ted.europa.eu/en/notice/-/detail/98628-2026,85000.0,EUR,,—,CYP,"Παροχή Συμβουλευτικών Υπηρεσιών για θέσπιση κατευθυντήριων γραμμών για τη σύνδεση ΣΕΗΟ στο δίκτυο διανομής, τη θέσπιση κινήτρων στον ΔΣΔ για προμήθεια υπηρεσιών ευελιξίας, και τη θέσπιση των αντίστοιχων Ρυθμιστικών Πλαισίων",-5.0,Market intelligence,,,,,2026-05-19,
323892-2026,Germany – Data collection and collation services – 2025.009_1100 crowdworking Plattform,Max-Planck-Institut für Bildungsforschung,can-standard,"72314000, 79310000",—,https://ted.europa.eu/en/notice/-/detail/323892-2026,,,,—,DEU,Rahmenvertrag,-5.0,Market intelligence,,,,,2026-05-19,
323911-2026,"Ireland – Printing services – CS/2025/04 Single Party Framework Agreement for Design, Print and Logistic Services",Fáilte Ireland-National Tourism Development Authority,can-standard,"79810000, 79811000, 79822500, 79824000",—,https://ted.europa.eu/en/notice/-/detail/323911-2026,4000000.0,EUR,,48 month,IRL,"Design, Print and Logistic Services",-5.0,Market intelligence,,,,,2026-05-19,
111495-2026,Sweden – Software package and information systems – Verksamhetssystem för kostplanering och upphandlingsstöd 2025,Upphandlingscenter Falun Borlänge-regionen | Avesta kommun | Borlänge kommun | Falu kommun | Gagnefs kommun | Ludvika kommun | Hedemora kommun | Säters kommun | Smedjebackens kommun,can-standard,"48000000, 48972000, 48490000, 48400000",—,https://ted.europa.eu/en/notice/-/detail/111495-2026,,,,—,SWE,"Vi inbjuder er att lämna anbud på två vitala systemstöd för våra kostenheter i södra dalarna. Del 1 fokuserar på  systemstöd för kostplanering med funktioner för näringsanalys, specialkost, livsmedelsregister, recept, matsedlar, beställningar, produktion, kundregister, matlådor, inköp, kantiner, dataanalys och fakturering. Del 2 avser systemstöd för livmedelsupphandling och svinn med stöd för upphandling, inköpsstatistik, rapporter, svinnhantering och skolprogrammet. Målet är användarvänliga system som effektiviserar måltidsproduktionen för förskola, skola och äldreomsorg, säkerställer ekonomisk uppföljning och kvalitet. Allergener ska tydligt framgå och specialkost hanteras säkert. Systemen ska bidra till bättre processer, budgethållning, effektiv inköpsplanering och underlag för framtida upphandlingar. Vi söker leverantör som kan ge rådgivning för optimal användning och utveckling av våra verksamheter. Vi inbjuder er att lämna anbud på två vitala systemstöd för våra kostenheter i södra dalarna. Del 1 fokuserar på  systemstöd för kostplanering med funktioner för näringsanalys, specialkost, livsmedelsregister, recept, matsedlar, beställningar, produktion, kundregister, matlådor, inköp, kantiner, dataanalys och fakturering. Del 2 avser systemstöd för livmedelsupphandling och svinn med stöd för upphandling, inköpsstatistik, rapporter, svinnhantering och skolprogrammet. Målet är användarvänliga system som effektiviserar måltidsproduktionen för förskola, skola och äldreomsorg, säkerställer ekonomisk uppföljning och kvalitet. Allergener ska tydligt framgå och specialkost hanteras säkert. Systemen ska bidra till bättre processer, budgethållning, effektiv inköpsplanering och underlag för framtida upphandlingar. Vi söker leverantör som kan ge rådgivning för optimal användning och utveckling av våra verksamheter.",-5.0,Market intelligence,,,,,2026-05-19,
315200-2026,Norway – Software package and information systems – Avinor AS - T - 193028 - Anskaffelse - Disclosure Management System,AVINOR AS,can-standard,"48000000, 48400000",—,https://ted.europa.eu/en/notice/-/detail/315200-2026,,,,—,NOR,"This procurement concerns the acquisition of a Disclosure Management System (DMS). The primary purpose of the procurement is to establish a comprehensive and future‑oriented solution that supports both external and internal reporting needs (for example annual and quarterly reports), including the consolidation of financial disclosures.",-5.0,Market intelligence,,,,,2026-05-19,
281655-2026,"Ireland – Design consultancy services – Consultancy Services to design a Diaspora Knowledge and Skills Transfer Framework for the Talent4S3 project, a project supported by EU Interreg Europe funding.",Southern Regional Assembly,can-standard,"79415200, 72224000, 73000000, 73210000",—,https://ted.europa.eu/en/notice/-/detail/281655-2026,24390.0,EUR,,4 month,IRL,"The mapping, analysis, engagement of stakeholders and delivery of a Regional Diaspora Knowledge and Skills Transfer Framework (DKSF) as part of the Interreg Europe funded TALENT4S3 project. The Framework must align with the Southern Region’s Smart Specialisation Strategy (S3) priorities and indicate opportunities for ensure that diaspora engagement to support innovation in key sectors such as digitalisation, green economy, and health innovation.",-5.0,Market intelligence,,,,,2026-05-19,
