pub_num,title,buyer,notice_type,cpv,deadline,link,value,currency,languages,duration,country,description,score,bucket,t1_hits,t2_hits,fetched_date,ai_relevant,ai_reason,winner
253833-2026,Netherlands – Business development consultancy services – Vrijwillige transparantie inzake voorgenomen enkelvoudige gunning venture development,Brabantse Ontwikkelings Maatschappij (BOM),veat,79411100,—,https://ted.europa.eu/en/notice/-/detail/253833-2026,,,,48 month,NLD,"BOM ontwikkelt programma’s voor groepen startups en scale-ups en speelt daarmee in op specifieke behoeften, afhankelijk van onder andere sector en levensfase. BOM is expert op het gebied van startup-ondersteuning en baseert zich op het Venture Building Framework en het levensfasenmodel. Programma’s die BOM heeft ontwikkeld zijn onder andere VC Readiness, Regenerative Biomaterials, Exit Strategy Awareness en Samenwerken met Defensie. Samen met Gritd ontwikkelde BOM het Startup Readiness Programma (SRP), dat bestaat uit de modules Ready, Game, Set en Match. €450.000 exclusief BTW, exclusief een jaarlijkse reservering van €10.000 voor doorontwikkeling",13,Live opportunity,venture building,scale-up,2026-05-19,,,
50606-2026,"Spain – Business services: law, marketing, consulting, recruitment, printing and security – Rfp Implementation of Marketing, Communication and Content Activities for the EIT STEM Tech Talent Initiative ´26-28",EIT Urban Mobility,cn-standard,79000000,—,https://ted.europa.eu/en/notice/-/detail/50606-2026,,,,—,ESP,"By the present procurement procedure, EIT Urban Mobility, hereinafter being referred to as “EIT UM”, is seeking professional support for the Design and Implementation of Marketing, Communication and Content Activities for the EIT STEM Tech Talent Initiative (hereinafter being referred to as “EIT STEM”), by appointing a communications and digital marketing provider (hereinafter being referred to as “Provider”). This document, along with its annexes, constitute a Request for Proposal (RFP) issued by EIT Urban Mobility for a potential procurement of services in the field of design and implementation of marketing, communications and content activities for the EIT STEM. EIT Urban Mobility is part of the EIT Cross KIC Entrepreneurial Education and Skills Cluster (EntrEduSkills), a joint pan-European project under Horizon Europe and within the EIT framework that represents an unprecedented endeavour in the EIT Education ecosystem to develop a comprehensive, unique, cross-sectoral education offer that directly implements the Union of Skills and the STEM Strategic Education Plan. Among other initiatives, the EntrEduSkills delivers and implements the EIT STEM.",12,Live opportunity,eit urban mobility,horizon europe,2026-05-19,,,
53340-2026,"Spain – Business services: law, marketing, consulting, recruitment, printing and security – Rfp Implementation of Digital Marketing and Dissemination Activities for the EIT Campus ´26-28",EIT Urban Mobility,cn-standard,79000000,—,https://ted.europa.eu/en/notice/-/detail/53340-2026,,,,—,ESP,"By the present procurement procedure, EIT Urban Mobility, hereinafter being referred to as “EIT UM”, is seeking professional support for the design and implementation of Digital Marketing and Dissemination Activities for the EIT Campus project, by appointing a digital communications and digital marketing provider (hereinafter being referred to as “Provider”). This document, along with its annexes, constitute a Request for Proposal (RFP) issued by EIT Urban Mobility for a potential procurement of services in the field of design and implementation of marketing, communications and dissemination activities for the EIT Campus. EIT Urban Mobility is part of the EIT Cross KIC Entrepreneurial Education and Skills Cluster (EntrEduSkills), a joint pan-European project under Horizon Europe and within the EIT framework that represents an unprecedented endeavour in the EIT Education ecosystem to develop a comprehensive, unique, cross-sectoral education offer that directly implements the Union of Skills and the STEM Strategic Education Plan. Among other initiatives, the EntrEduSkills delivers and implements the EIT Campus.",12,Live opportunity,eit urban mobility,horizon europe,2026-05-19,,,
58036-2026,"Spain – IT services: consulting, software development, Internet and support – Rfp EIT Campus Platform Tool Development ´26-28",EIT Urban Mobility,cn-standard,72000000,—,https://ted.europa.eu/en/notice/-/detail/58036-2026,,,,—,ESP,"By the present procurement procedure, EIT Urban Mobility, hereinafter being referred to as “EIT UM”, is seeking professional support for development and implementation of the EIT Campus platform, by appointing a web developer provider (hereinafter being referred to as “provider). This document, along with its annexes, constitute a Request for Proposal (RFP) issued by EIT Urban Mobility for a potential procurement of services in the field of tool development. EIT Urban Mobility is part of the EIT Cross-KIC Entrepreneurial Education and Skills Cluster (EntrEduSkills), a joint pan-European project under Horizon Europe and within the EIT framework. The EIT Knowledge and Innovation Communities (KICs) are thematic hubs that bring together businesses, higher education, and research organisations to drive innovation and skills development across Europe. EntrEduSkills represents an unprecedented endeavour in the EIT Education ecosystem to develop a comprehensive, unique, cross-sectoral education offer that directly implements the Union of Skills and the STEM Strategic Education Plan. Among other initiatives, EntrEduSkills delivers and implements the EIT Campus.",12,Live opportunity,eit urban mobility,horizon europe,2026-05-19,,,
327009-2026,Germany – Foreign economic-aid-related services – 10003421-Early-stage infrastructure project preparation via the AUDA-NEPAD Service Delivery Mechanism,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,cn-standard,"75211200, 79411100",2026-06-03,https://ted.europa.eu/en/notice/-/detail/327009-2026,,,ENG,35 month,DEU,"Description of the scope of works Targeted technical advisory shall be provided, particularly in the upstream phases of infrastructure project development. This includes the design and deployment of tailored sectoral infrastructure packages that address project-specific needs in close collaboration with the responsible AUDA-NEPAD and GIZ technical teams. Infrastructure project preparation To be provided is early-stage project technical advisory to advance selected energy and non-energy projects with the aim of readying projects for full feasibility studies. For energy, the focus is on sustainable energy projects including (variable) renewable energy and transmission. For other sectors, the focus sub-sectors for these projects are ICT, industrialisation (e.g., industrial parks), transboundary water and/or transportation projects as selected by institutions responsible for regional corridor management (in the Central Corridor and North-South Corridor). Tasks include: - Conduct rapid assessments and document review, prepare project profile, readiness diagnostics and confirm that the projects are at a stage for further TA. - Define tailored SDM support packages for each project. - Develop SDM deployment workplans with milestones and roles. - Review enabling policy and regulatory frameworks - Conduct pre-feasibility assessments (technical, land, permitting, market review, commercial viability, financial modelling, etc.) - Supporting engagement with national institutions, regional economic communities (RECs), power pools, and utilities - Identify gaps in projects and propose early-stage interventions. - Undertaking technical studies, as required, e.g., technology selection assessment, grid integration and evacuation concept, preliminary energy yield and deliverability, constructability and CAPEX, and early permitting and land status. - Identify potential institutions that have an interest in the project(s) and align project preparation efforts with their requirements. These institutions should primarily be African or European actors To enhance the effectiveness, efficiency, and credibility of the SDM mechanism in advancing energy projects, an SDM-level review of the applicable processes will be conducted, for energy projects. Based on a sample of energy projects, the review includes: - Review the SDM energy project portfolio by development stage, technology types, geography, and SOPs - Assess project progression rates - Identify common points of delay, redesign, or attrition. - Assess alignment of SDM outputs with: DFI requirement, investor expectations, and regional and continental energy priorities. - Identify gaps affecting investor confidence and bankability: - Collate proposed updates/refinements to the SDM SOPs as proposed by these actors for implementation by AUDA-NEPAD. Market sounding and financing sector engagements Structured, targeted engagements between project sponsors and financing institutions - multilateral, bilateral, commercial, and ",8,Possible opportunity,,financial modelling,2026-05-19,,,
211674-2026,Belgium – Business and management consultancy and related services – Investment readiness and investor outreach programme (VentureMatch Programme),"European Innovation Council and SMEs Executive Agency (EISMEA), EISMEA - European Innovation Council and SMEs Executive Agency",can-standard,"79400000, 72000000, 79952000, 79340000",—,https://ted.europa.eu/en/notice/-/detail/211674-2026,8400000.0,EUR,,48 month,BEL,"The proposed procurement will support the Agency in running the call for EIC Investment readiness and investor outreach programme (VentureMatch). It will perform specialized support to the EIC Awardees (including blended finance startups selected under the EIC pilot and beneficiaries of the STEP action) in fundraising for technology development, market deployment and scale-up. Among the tasks foreseen are: 1) Supporting the EIC awardees will start with identification, collection and presentation of their investment related needs in a structured form, support them to improve their investor materials, and suggest suitable investors. The contractor shall propose and maintain a dynamic library of high-quality learning materials, guides, and templates. The contractor shall provide support to KAMs from Community tender in organizing investor related activities for companies. 2) Sourcing, support and managing the investors The contractor shall continue to develop the network of investors already created - which would include venture capital funds, impact investment funds, family offices, venture debt funds, NPBIs (National Promotional Banks and Institutions), corporate venture arms, project investors and other types of investors relevant for companies stage and needs. The contract shall identify relevant investors, validate them (limited checks of their website, staff etc) to ensure they are legitimate investors, onboard them on the platform and include them in the activities to be developed. 3) EIC events and investor networking The contractor must organise by itself or in collaboration with relevant partners a number of pitching activities (1 large, 3 medium, 9 epithes) and investor networkign activities (10-15) and provide support to TIN events. 4) CRM, matchmaking, data analytics and communication The contractor shall propose in the tender and implement a robust customer relationship management (CRM) system to centralize and manage all relevant data regarding the fundraising related activities of the companies. Propose a leading matchmaking platform with a robust investor base, proven track record, and user-friendly features, ensuring it supports active engagement and data-driven insights. Data analytics The contractor must be able to analyse information and data coming from internal (EIC IT tools, CRM, matchmaking platform) and external sources (platforms like Pitchbook or Dealroom providing company information) in order to identify trends, measure conversion rates, and recommend adjustments to maximize impact of the activities, fundraising success, and exit readiness on the level Communication The contractor shall reinforce the connection between eligible awardees and clusters of companies via a dedicated communication channel on platforms such Slack. The contractor shall raise visibility of the participating EIC awardees, of the investor activities but also of the EIC Fund to being a key strategic actor within the investment landscape via success",8,Market intelligence,investment readiness,"investor outreach, scale-up",2026-05-19,,,THE BOSTON CONSULTING GROUP | UNTERNEHMERTUM GMBH
309073-2026,Netherlands – Business development consultancy services – Vrijwillige transparantie inzake voorgenomen enkelvoudige gunning venture development,Brabantse Ontwikkelings Maatschappij (BOM),can-standard,79411100,—,https://ted.europa.eu/en/notice/-/detail/309073-2026,490000.0,EUR,,48 month,NLD,"BOM ontwikkelt programma’s voor groepen startups en scale-ups en speelt daarmee in op specifieke behoeften, afhankelijk van onder andere sector en levensfase. BOM is expert op het gebied van startup-ondersteuning en baseert zich op het Venture Building Framework en het levensfasenmodel. Programma’s die BOM heeft ontwikkeld zijn onder andere VC Readiness, Regenerative Biomaterials, Exit Strategy Awareness en Samenwerken met Defensie. Samen met Gritd ontwikkelde BOM het Startup Readiness Programma (SRP), dat bestaat uit de modules Ready, Game, Set en Match. €450.000 exclusief BTW, exclusief een jaarlijkse reservering van €10.000 voor doorontwikkeling",8,Market intelligence,venture building,scale-up,2026-05-19,,,Gritd B.V.
330885-2026,"Spain – Business services: law, marketing, consulting, recruitment, printing and security – Rfp Implementation of Digital Marketing and Dissemination Activities for the EIT Campus ´26-28",EIT Urban Mobility,can-standard,79000000,—,https://ted.europa.eu/en/notice/-/detail/330885-2026,,,,—,ESP,"By the present procurement procedure, EIT Urban Mobility, hereinafter being referred to as “EIT UM”, is seeking professional support for the design and implementation of Digital Marketing and Dissemination Activities for the EIT Campus project, by appointing a digital communications and digital marketing provider (hereinafter being referred to as “Provider”). This document, along with its annexes, constitute a Request for Proposal (RFP) issued by EIT Urban Mobility for a potential procurement of services in the field of design and implementation of marketing, communications and dissemination activities for the EIT Campus. EIT Urban Mobility is part of the EIT Cross KIC Entrepreneurial Education and Skills Cluster (EntrEduSkills), a joint pan-European project under Horizon Europe and within the EIT framework that represents an unprecedented endeavour in the EIT Education ecosystem to develop a comprehensive, unique, cross-sectoral education offer that directly implements the Union of Skills and the STEM Strategic Education Plan. Among other initiatives, the EntrEduSkills delivers and implements the EIT Campus.",7,Market intelligence,eit urban mobility,horizon europe,2026-05-19,,,Piquant
331604-2026,"Spain – IT services: consulting, software development, Internet and support – Rfp EIT Campus Platform Tool Development ´26-28",EIT Urban Mobility,can-standard,72000000,—,https://ted.europa.eu/en/notice/-/detail/331604-2026,,,,—,ESP,"By the present procurement procedure, EIT Urban Mobility, hereinafter being referred to as “EIT UM”, is seeking professional support for development and implementation of the EIT Campus platform, by appointing a web developer provider (hereinafter being referred to as “provider). This document, along with its annexes, constitute a Request for Proposal (RFP) issued by EIT Urban Mobility for a potential procurement of services in the field of tool development. EIT Urban Mobility is part of the EIT Cross-KIC Entrepreneurial Education and Skills Cluster (EntrEduSkills), a joint pan-European project under Horizon Europe and within the EIT framework. The EIT Knowledge and Innovation Communities (KICs) are thematic hubs that bring together businesses, higher education, and research organisations to drive innovation and skills development across Europe. EntrEduSkills represents an unprecedented endeavour in the EIT Education ecosystem to develop a comprehensive, unique, cross-sectoral education offer that directly implements the Union of Skills and the STEM Strategic Education Plan. Among other initiatives, EntrEduSkills delivers and implements the EIT Campus.",7,Market intelligence,eit urban mobility,horizon europe,2026-05-19,,,Smultron LLC
334307-2026,"Spain – Business services: law, marketing, consulting, recruitment, printing and security – Rfp Implementation of Marketing, Communication and Content Activities for the EIT STEM Tech Talent Initiative ´26-28",EIT Urban Mobility,can-standard,79000000,—,https://ted.europa.eu/en/notice/-/detail/334307-2026,,,,—,ESP,"By the present procurement procedure, EIT Urban Mobility, hereinafter being referred to as “EIT UM”, is seeking professional support for the Design and Implementation of Marketing, Communication and Content Activities for the EIT STEM Tech Talent Initiative (hereinafter being referred to as “EIT STEM”), by appointing a communications and digital marketing provider (hereinafter being referred to as “Provider”). This document, along with its annexes, constitute a Request for Proposal (RFP) issued by EIT Urban Mobility for a potential procurement of services in the field of design and implementation of marketing, communications and content activities for the EIT STEM. EIT Urban Mobility is part of the EIT Cross KIC Entrepreneurial Education and Skills Cluster (EntrEduSkills), a joint pan-European project under Horizon Europe and within the EIT framework that represents an unprecedented endeavour in the EIT Education ecosystem to develop a comprehensive, unique, cross-sectoral education offer that directly implements the Union of Skills and the STEM Strategic Education Plan. Among other initiatives, the EntrEduSkills delivers and implements the EIT STEM.",7,Market intelligence,eit urban mobility,horizon europe,2026-05-19,,,Shape History
313210-2026,Ireland – Business and management consultancy services – 26/027 - Professional Services Qualification System for the Strategic Gas Emergency Reserve,Gas Networks Ireland,qu-sy,"79410000, 66171000, 79412000, 71621000",—,https://ted.europa.eu/en/notice/-/detail/313210-2026,,,"ENG, ENG, ENG, ENG, ENG, ENG, ENG",180 day,IRL,"Lot 1 is for the provision of LNG commercial advice for the procurement, analysis and contract management of LNG supply contracts for the Strategic Gas Emergency Reserve (SGER). Services under this lot may include, but are not limited to: Provision of commercial LNG advice and procurement support, including developing Sale and Purchase Agreements, Master Sale and Purchase Agreements, tender documentation, Term Sheets and evaluation; Provision of contract negotiation lead support to deliver contracts for LNG supply, including LNG deal Term Sheets, the LNG Sale and Purchase Agreements, Master Sale and Purchase Agreements, and call off contracts and support management of contracts; and Provision of LNG commercial advice in relation to data analysis, data reporting service advice, on-call support and recommendations. Lot 2 is for the provision of specialist advisory and support services for Commercial Operations and Commercial Regulation for the Strategic Gas Emergency Reserve (SGER). Services under this lot may include, but are not limited to: Design and development of the economic business model for the SGER; Design and development of a commercial business model for the SGER; Advice and support for the procurement of a commercial operations contractor for the SGER; Supporting GNI with its internal and external stakeholder approval processes; and Commercial regulation support. Lot 3 is for the provision of advisory and support services to support the strategy development and procurement of marine services for the Strategic Gas Emergency Reserve (SGER). Services under this lot may include but are not limited to: Provision of maritime simulation studies; Provision of a navigational risk assessment to support planning and consents for the SGER; Provision of training for pilots to facilitate safe passage of vessels to the project location and adequately train pilots for the event of emergency; Provision of strategic and technical advice regarding vessels and marine services; and Provision of support for the procurement of vessels and marine services. Lot 4 is for the provision of specialist services and advice in relation to project and programme management support services for the Strategic Gas Emergency Reserve (SGER). Services under this lot may include but are not limited to: Project Routemap guidance and implementation; Project Management Office (PMO) services including governance, reporting and programme alignment, quality assurance, maturity assessments, tool kits and prioritisation; Capital projects project controls covering risk management, schedule management and assurance, cost management, cost estimating including capex/ opex benchmarking, cost controllers and earned value management (EVM) specialists; Project, programme and portfolio management services (delivery focus), including design and performance management services; Project, programme, portfolio governance and assurance; Project, programme and/or portfolio planning, integration and ",6,Possible opportunity,,business model,2026-05-19,,,
278990-2026,"Italy – Research and experimental development services – Avviso di modifica della Scheda Tecnica relativa ai Servizi di Innovazione ""SVZ-INN-01-02""",Ferservizi S.p.A. Gruppo Ferrovie dello Stato Italiane (Società con socio unico soggetta alla direzione e coordinamento di Ferrovie dello Stato Italiane S.p.A.),qu-sy,"73100000, 73200000",—,https://ted.europa.eu/en/notice/-/detail/278990-2026,,,,—,ITA,"Avviso di modifica della Scheda Tecnica relativa ai Servizi di Innovazione ""SVZ-INN-01 Gestione delle iniziative dedicate all’innovazione e sostegno a start up innovative"" e ""SVZ-INN-02 Enterprise Innovation Strategy, Business Integration, Incubation e Innovation Services, Innovation Project Management, Controlling, Governance della Proprietà Intellettuale (IP)""",6,Possible opportunity,,innovation strategy,2026-05-19,,,
196773-2026,Poland – Research and development consultancy services – Usługi Lidera Grupy roboczej ds. Inteligentnej Specjalizacji - Zdrowie i turystyka zdrowotna,Kujawsko-Pomorski Fundusz Rozwoju sp. z o.o.,veat,"73200000, 79410000, 79400000",—,https://ted.europa.eu/en/notice/-/detail/196773-2026,,,,—,POL,"1. Przedmiotem zamówienia jest usługa Lidera Grupy roboczej ds. IS - Zdrowie i turystyka zdrowotna. Lider będzie przewodził jednej Grupie roboczej ds. IS. Grupa robocza ds. IS odbędzie 7 spotkań do dnia 30 czerwca 2026 r. Lider będzie odpowiedzialny za koordynację działań Grupy roboczej ds. IS, współpracę z Liderami pozostałych Grup roboczych ds. IS, a także monitorowanie postępów i osiągnięć w swojej dziedzinie. Lider będzie odpowiedzialny za opracowanie i realizację planu działania dla Inteligentnej Specjalizacji, raportowanie wyników oraz aktywne uczestnictwo w spotkaniach Grupy. Spotkania Grup roboczych ds. IS organizowane będą na terenie województwa kujawsko-pomorskiego. 2. Szczegółowy opis przedmiotu zamówienia zawierają załączniki do SWZ: a) Załącznik nr 1 – Opis przedmiotu zamówienia, b) Załącznik nr 2 – Wzór umowy. 3. Zamawiający nie przewiduje obowiązku zatrudniania na podstawie stosunku pracy, zgodnie z art. 22 § 1 ustawy z dnia 26.06.1974 roku Kodeks pracy (t.j. Dz. U. 2025 poz. 277 ze zm.) 4. Zamawiający przewiduje możliwość udzielenia Prawa Opcji. Udzielenie zamówienia w ramach Prawa Opcji jest prawem, a nie obowiązkiem Zamawiającego. W przypadku nieudzielenia zamówienia w ramach Prawa Opcji Wykonawcy nie przysługują żadne roszczenia, w szczególności finansowe. Szczegółowe warunki korzystania z Prawa Opcji zawiera załącznik do SWZ – Wzór umowy. Wykonanie zamówienia w ramach Prawa Opcji nastąpi na takich samych zasadach jak zamówienia podstawowego. Prawo Opcji dotyczy świadczenia usług obejmujących: 1) przedłużenia świadczenia usługi opisanej w OPZ – maksymalnie do 31.12.2026 r., tj. o kolejne maksymalnie 6 miesięcy do zakresu podstawowego i/lub 2) zwiększenia liczby planowanych spotkań przeprowadzonych przez Lidera – o kolejne maksymalnie 6 spotkań.",6,Possible opportunity,,,2026-05-19,,,
172446-2026,Ireland – Business and management consultancy services – ID 6217796 DFE - InterTradeIreland Supply Chain Programme,Construction and Procurement Delivery (CPD),pin-only,"79410000, 73000000, 79411100, 79000000",—,https://ted.europa.eu/en/notice/-/detail/172446-2026,,,,—,IRL,,6,Possible opportunity,,,2026-05-19,,,
111054-2026,Netherlands – Business and management consultancy services – Opstellen specialistisch clusterplan industrie,Provincie Limburg,veat,"79410000, 79411000, 79411100, 79412000",—,https://ted.europa.eu/en/notice/-/detail/111054-2026,,,,—,NLD,"Provincie Limburg is voornemens een opdracht aan McKinsey & Company Netherlands te verlenen op grond van artikel 2.32 lid 1 sub b onder 2 Aw2012 middels toepassing van de onderhandelingsprocedures zonder aankondiging. De opdrachtwaarde is geraamd op circa € 516.000,-. De opdracht omvat het ondersteunen bij het opstellen van een integraal clusterplan voor een industriecluster in Limburg. Alleen McKinsey & Company Netherlands beschikt over de relevante kennis in combinatie met een breed en relevant netwerk van experts. McKinsey kan beschikken over noodzakelijke kennis betreffende de (mondiale) industriebranche. McKinsey & Company Netherlands doorziet de strategische verbonden problematieken en kent de trends en ontwikkelingen in de industrie die nodig zijn om het opstellen van een integraal clusterplan te kunnen begeleiden. McKinsey & Company Netherlands heeft daarmee een uniek beeld van de belangen en behoeften van de Provincie Limburg en kan deze helpen deze door te vertalen naar een effectieve aanpak en inhoud van het clusterplan. Daarmee is McKinsey & Company Netherlands de enige partij die met de vereiste kennis en ervaring een door partijen gedragen clusterplan kan helpen opstellen.",6,Possible opportunity,,,2026-05-19,,,
123411-2026,Ireland – Business and management consultancy services – Provision of Consultancy Services by Elsevier - Ref:TCD-26-C2325,Trinity College Dublin the University of Dublin_336,veat,79410000,—,https://ted.europa.eu/en/notice/-/detail/123411-2026,,,,—,IRL,"Trinity College Dublin proposes to undertake consultation provided by Elsevier to inform its interpretation of the Times Higher Education (THE) World University Rankings and Quacquarelli Symonds (QS) World University Rankings. Elsevier is the only feasibly supplier for this consultation, as Elsevier supplies proprietary data on research outputs and citation to both THE and QS rankings.",5,Possible opportunity,,,2026-05-19,,,
326886-2026,Germany – Foreign economic-aid-related services – 10014668-Asesoría técnica para el acompañamiento del proceso de acceso y post acceso del Perú a OCDE,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,cn-standard,"75211200, 79411100",2026-06-02,https://ted.europa.eu/en/notice/-/detail/326886-2026,,,"ENG, SPA",24 month,DEU,"The services described in the documents of this tender procedure consist of providing specialized technical assistance to support the Peruvian State in the OECD accession and post-accession processes, with a focus on strengthening the institutional capacities of the center of government and implementing reforms aligned with international standards. The services are primarily aimed at strengthening institutional conditions for evidence-based policymaking through the development of instruments, methodologies and coordination mechanisms that enable the effective implementation of OECD recommendations. In addition, the services should promote multi-level and multi-stakeholder governance approaches, ensuring the participation of different sectors and levels of government in the design and implementation of reforms. Interventions are expected to generate scalable and replicable results, strengthening the State""s capacity to sustain and institutionalize the progress achieved. The services shall also incorporate a cross-cutting gender approach and promote equal opportunities, as well as institutional sustainability criteria, ensuring that the tools, methodologies and instruments developed can be continuously adopted and used by the relevant public entities. In this context, the following workstreams shall be carried our: - First, provide technical support for the development of institutional conditions that enables efficient management of the accession and post-accession processes. This includes the design and strengthening of institutional frameworks, legal instruments, methodologies, monitoring systems, indicators and coordination mechanisms among public and non-public stakeholders, considering sustainability criteria, gender mainstreaming and alignment with OECD standards. - Second, develop action plans for the implementation of prioritized OECD recommendations, in coordination with center of government institutions. This shall include the preparation of technical diagnostics analyzing the current situation in the country, the legal and institutional framework, existing capacities and gaps in relation to international standards, as well as benchmarking against OECD member countries. Furthermore, participatory working spaces with public and non-public stakeholders shall be designed and facilitated for the development and validation of the action plans. These plans shall include objectives, expected results, lines of action, indicators, responsibilities and timelines, ensuring coherence with existing public policies, institutional feasibility and long-term sustainability. In addition, the methodology used for their design shall be systematized to ensure replicability. - Third, design and implement instruments for evidence-based policymaking that contribute to improving the quality of public decision-making. These instruments shall be aligned with international good practices, applicable to the Peruvian context and, in at least one case, incorporate gend",5,Possible opportunity,,,2026-05-19,,,
101773-2026,Netherlands – Evaluation consultancy services – Vrijwillige transparantie ten behoeve van Clustervisitatie WO Universitaire Lerarenopleidingen Regio West,Universiteit van Amsterdam,veat,79419000,—,https://ted.europa.eu/en/notice/-/detail/101773-2026,,,,—,NLD,Vrijwillige transparantie ten behoeve van Clustervisitatie WO Universitaire Lerarenopleidingen Regio West.,5,Possible opportunity,,,2026-05-19,,,
332998-2026,Germany – Business and management consultancy services – Umsetzung der Handlungsfelder aus der Prozessanalyse zur Optimierung aller Abrechnungsarten inkl. Forderungsmanagement,Universitätsklinikum Regensburg AöR,veat,79410000,—,https://ted.europa.eu/en/notice/-/detail/332998-2026,,,,8 month,DEU,"Das Universitätsklinikum Regensburg beabsichtigt die Beauftragung von Beratungs- und Unterstützungsleistungen zur strukturellen und operativen Optimierung der Abrechnungs- und Forderungsmanagementprozesse. Gegenstand des Projekts sind die Reorganisation der operativen Abrechnungsprozesse, die Weiterentwicklung der systemseitigen Unterstützung im SAP-/IS-H-Umfeld einschließlich relevanter Subsysteme sowie die Übernahme und Implementierung eines strukturierten Forderungsmanagements. Ziel des Projektes ist die Reduktion von Durchlaufzeiten, die Verbesserung der Prozess- und Bearbeitungssicherheit, die nachhaltige Optimierung der Liquiditätssituation sowie die Standardisierung und Digitalisierung bestehender Abläufe. Grundlage der Leistungen ist eine bereits durch den vorgesehenen Auftragnehmer durchgeführte Tiefenanalyse der bestehenden Prozess- und Systemlandschaft einschließlich der Identifikation konkreter Optimierungspotenziale und Maßnahmenfelder.",5,Possible opportunity,,,2026-05-19,,,
263113-2026,Germany – Business development consultancy services – 81322021-Strategic Environmental and Social Assessment (SESA) of the oil and gas sector to be carried out in the DRC,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,cn-standard,"79411100, 90711000, 90711400",2026-05-19,https://ted.europa.eu/en/notice/-/detail/263113-2026,,,ENG,12 month,DEU,"An open international call for a tender is published for services to be provided for 12 months (with the possible extension), requiring a total of 5 experts, including 2 experts with international experience, respectively head of mission and deputy head of mission, with skills in the environment, strategic studies, and knowledge of the hydrocarbon sector. The team will be backed up on site by 3 experts with national experience with skills in social responsibility and oil and gas sector law and public policy. The services to be provided under this contract include measures for human capacity development and organisational and strategy advice in the following thematic areas: 1. Identifying and increasing attention to potential environmental and social risks, direct and indirect impacts and concerns around the development of the oil and gas sector; 2. Identifying and strengthening environmental and social management approaches and practical tools for the Government to manage sectoral environmental and social governance 3. Identifying and strengthening instruments and approaches that can improve environmental and social accountability, including by increasing the transparency of processes in the oil and gas sector and establishing simple, safe and accessible feedback and/or complaint mechanisms. 4. Support strengthening actors"" capacity relevant for the sector to manage environmental and social risks related to the development of the oil and gas sector according to the mitigation hierarchy (avoid, minimise, mitigate and offset). The Contractor is responsible for the performance of the services and the production of the following outputs: 1) Strategic environmental and social assessment (SESA) of the oil and gas sector in the DRC. 2) SWOT analysis and recommendations for the oil and gas sector. 3) Socio-environmental management standards for the DRC. 4) Guide to good environmental and social practices for the DRC 5) Draft implementing legislation for the DRC.",5,Possible opportunity,,,2026-05-19,,,
300130-2026,Belgium – Research and experimental development services – BlueInvest Platform,"European Climate, Infrastructure and Environment Executive Agency (CINEA), CINEA - European Climate, Infrastructure and Environment Executive Agency",can-standard,"73100000, 73200000, 73300000",—,https://ted.europa.eu/en/notice/-/detail/300130-2026,6600000.0,EUR,,48 month,BEL,"The purpose of this call for tender is to continue and further develop the BlueInvest Platform to assist in helping small enterprises to put innovative products and services from the blue economy on the market and increase investment in the sustainable blue economy in the EU. This will build on the existing work and will include: • matchmaking and community-building between investors and companies through events, pitching, animation of an on-line community and a project pipeline; • improving investment readiness of companies through activities such as coaching, mentoring and/or fundraising assistance; • supporting financial intermediaries/fund managers seeking to increase their investment in the Blue Economy and/or developing dedicated Blue Economy funds; • supporting regional or national acceleration efforts for the sustainable blue economy innovation; • promotion and outreach to key stakeholders and dissemination of results",5,Market intelligence,investment readiness,,2026-05-19,,,PWC EU SERVICES | BPIFRANCE | CARSA
305782-2026,"Ireland – Market research services – Provision of Consultancy Services for Market Insight, Go-To-Market Strategy, Brand Strategy and Visual Identity Development – Reddot Food Limited",Reddot Food,can-standard,"79310000, 79413000, 79342000, 79822500",—,https://ted.europa.eu/en/notice/-/detail/305782-2026,70000.0,EUR,,6 month,IRL,"Reddot Food Limited invites tenders for the provision of consultancy services covering market insight, go-to-market planning, brand strategy development and visual identity design for current and future product initiatives. The contract will be awarded on the basis of the Most Economically Advantageous Tender (MEAT). Full details of the scope, deliverables and evaluation criteria are contained within the tender documentation.",5,Market intelligence,go-to-market strategy,go-to-market,2026-05-19,,,WBS Limited | WBS Limited
